what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1277730006803
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730008439
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730008592
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1277730015266
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730023270
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730023343
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277730060383
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1277730065269
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730067200
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730068347
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730072119
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730089394
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1277730089450
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1277730089523
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1277730092273
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1277730094297
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1277730100042
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730101146
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730101316
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1277730107751
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1277730111591
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277730118857
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1277730119402
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730122615
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277730132676
